Participaciones;Edición;Disciplinas;Tamaño delegación;Tamaño delegación;Tamaño delegación;Abanderado;Abanderado
1;Los Ángeles 1932;1 deporte;1;1;0;Jorge Perry;Atletismo
2;Berlín 1936;1 deporte;5;5;0;José Domingo Sánchez;Atletismo
3;Londres 1948;3 deportes;6;6;0;Luis Eduardo González;Natación
4;Melbourne 1956;6 deportes;26;26;0;Jaime Aparicio;Atletismo
5;Roma 1960;5 deportes;16;16;0;Emilio Echeverry;Esgrima
6;Tokio 1964;6 deportes;20;20;0;Emilio Echeverry;Esgrima
7;México 1968;5 deportes;43;38;5;Ricardo González;Natación
8;Múnich 1972;8 deportes;59;55;4;Alfonso Pérez;Boxeo
9;Montreal 1976;7 deportes;35;32;3;Helmut Bellingrodt;Tiro deportivo
10;Moscú 1980;3 deportes;23;23;0;Enrique Peña;Marcha atlética
11;Los Ángeles 1984;8 deportes;39;36;3;Pablo Restrepo;Natación
12;Seúl 1988;10 deportes;40;34;6;Jorge Enrique Molina;Tiro deportivo
13;Barcelona 1992;11 deportes;49;46;3;Bernardo Tovar;Tiro deportivo
14;Atlanta 1996;9 deportes;48;39;9;Marlon Pérez;Ciclismo
15;Sídney 2000;13 deportes;44;25;19;María Isabel Urrutia;Halterofilia
16;Atenas 2004;15 deportes;53;32;21;Carmenza Delgado;Halterofilia
17;Pekín 2008;16 deportes;67;43;24;María Luisa Calle;Ciclismo
18;Londres 2012;18 deportes;104;46;58;Mariana Pajón;BMX
19;Río de Janeiro 2016;23 deportes;147;75;72;Yuri Alvear;Judo